R,I,A,S,E,C,career,interest_label
5.0,5.0,1.373139194967697,1.0,2.446527963355518,3.8806914857446975,Security Engineer,Data
3.101861716611232,3.829697961128117,1.0,1.0,3.01790130001792,5.0,Site Reliability Engineer,Data
4.398155041426768,3.868751569769623,1.0,1.3721573211813447,2.319461511187276,5.0,Automation Test Engineer,Data
4.314365274129819,4.906201499954194,1.6838256519679862,1.0,1.8486127274372308,4.330244491172849,Cybersecurity Analyst,Data
4.14057162634578,3.505209798135428,1.711070905774044,1.0,1.9493701557717444,4.919365249701011,Automation Test Engineer,Data
2.919472001325365,3.789448613919084,1.5024108458789565,1.0,2.63136916180402,5.0,Cloud Engineer,Data
3.704178179868239,2.996381343275232,1.0,1.0,1.961503167930831,5.0,QA Engineer,Data
4.672479833087074,4.693312185763407,1.4773334080146934,1.6276615947654691,1.633268954415518,3.5550187217214293,Security Engineer,Data
4.258742451440221,2.678733915596881,1.559783058490546,1.0,2.1454355953220428,4.674729001979215,QA Engineer,Data
3.285472847301937,4.5927985895034045,2.2852430430398454,1.497207264103792,2.610275301965616,4.00677714732435,Machine Learning Engineer,Data
4.950692332793159,3.9940814268798377,1.0,1.6813704134994811,2.622910777481752,5.0,Automation Test Engineer,Data
4.980552145645733,3.169965925297152,1.412976104462973,1.3715048470250384,1.9314175445629416,5.0,Systems Engineer,Data
4.25490895422348,5.0,1.0561660341936023,1.7555705800063366,2.1788775417134385,4.950235836176123,Automation Test Engineer,Data
3.447687512953004,2.659639195441148,2.01829117833604,1.0,2.616433395693357,4.765669745260101,QA Engineer,Data
3.4278725918676898,3.6606479339441935,1.499690473196395,1.0,1.3959037708209805,4.255098467317413,Systems Engineer,Data
3.2366188122867725,4.963585543671564,1.0,1.0,1.7767425239664894,4.428199397161736,Backend Developer,Data
4.358439767409726,3.053957537207537,1.0,1.8853209362313368,2.4330268320160977,5.0,Site Reliability Engineer,Data
4.361247884721468,3.841671117631678,1.6969622652705365,1.0,3.084688734971353,4.6121070053437,Site Reliability Engineer,Data
4.420540769303208,4.61436402761446,1.5085327719850767,1.062779261236789,2.650763120893427,4.959360225993208,Cloud Engineer,Data
4.50140487597757,4.842935076110762,1.0,1.0,3.1791172970072266,5.0,Site Reliability Engineer,Data
3.073828748445062,3.1235428278437025,1.2652448992649363,1.0,1.3831529178357254,5.0,QA Engineer,Data
4.494263052323721,4.031910612516819,1.0,1.0778291488358704,2.128288697924654,5.0,Systems Engineer,Data
4.453324192904642,5.0,1.146242093971148,1.0,1.884061012469384,3.5199947389060857,Security Engineer,Data
2.203503133234165,5.0,1.0,1.2762449772085738,2.1119570670323307,4.682070214986922,Backend Developer,Data
4.32161770927628,3.1949325790328587,1.2391501961273446,1.016800853676778,2.1918221924848207,4.940272799371832,QA Engineer,Data
3.2814272402285654,4.931129469806036,2.3901008605930376,1.0,1.8220325414565144,3.8239388028918366,Machine Learning Engineer,Data
3.7055992166902496,4.703549644580557,1.4912194153644538,1.0,1.7833222794146812,5.0,Automation Test Engineer,Data
3.965390296029241,4.3367825863460014,1.0,1.3116277117292363,1.9386142871565948,4.451162880565193,Security Engineer,Data
5.0,3.490910972219302,1.0,1.0,3.139258657977999,4.892805534011611,QA Engineer,Data
4.665225835781159,4.925558601989558,1.0,1.8888224094097148,2.43810299583583,4.287040641053268,Cybersecurity Analyst,Data
3.5982952701037814,4.25181831808893,1.0165079384674298,1.0,2.0731176395111803,5.0,Systems Engineer,Data
4.143139111540942,5.0,1.0,1.6715040418680656,2.43705704090893,4.36772164310208,Security Engineer,Data
4.208729515681583,4.04057191592481,1.0893575621679763,1.0,3.497977464113203,5.0,Cloud Engineer,Data
4.168446182347724,4.789428060186742,1.0,1.3395960709620895,1.4324199351570874,4.844580425862501,Automation Test Engineer,Data
3.59845770964047,3.538973476411287,1.7928395865503794,1.4779690300891557,3.9717920436887817,5.0,Cloud Engineer,Data
2.99007507361808,3.429958699488278,1.0,1.0,1.789822336711737,5.0,Automation Test Engineer,Data
3.554091408368758,4.4800470364372345,1.3063869525312848,1.0,1.6881155196520974,4.957015676933393,Backend Developer,Data
4.64687657793298,3.215450487653388,1.0,1.048448938017157,2.545923025696165,4.788899657597628,Cloud Engineer,Data
3.095828972987883,4.930242985833464,1.305066772543967,1.1710597100548286,1.6413585134921655,4.330129353353275,Cybersecurity Analyst,Data
3.399232302630357,3.331638957926689,1.2236931482367135,1.0,1.917079547168999,4.820153667149588,Systems Engineer,Data
2.9343016095815013,5.0,1.5989002959824103,1.0,2.544952479545416,3.714408012957907,Data Scientist,Data
4.565649525124873,4.303743716430761,1.0778759539156402,1.0,1.8630037634184784,3.79549107609253,Security Engineer,Data
4.510729052007688,4.411171149343776,1.3491995606647005,1.5584897138200642,2.9537003023658035,4.0655129620865615,Cloud Engineer,Data
3.515141727015921,5.0,1.0,1.0,1.964199370292968,3.981388881745079,Backend Developer,Data
3.515141727015921,5.0,1.0,1.0,1.964199370292968,3.981388881745079,Backend Developer,Data
3.5137746811564976,4.233033374139302,1.454643698346847,1.4692855335299695,3.37847636806391,4.933237132273756,Cloud Engineer,Data
4.145018901526951,4.196995286087504,1.2980407470662434,1.0,1.3909119665963403,5.0,Big Data Engineer,Data
3.547704393143463,4.466414352046099,1.0,1.0,2.2660580670931907,5.0,Systems Engineer,Data
3.9031581699778095,5.0,1.0,1.293425769392434,1.034956565338284,5.0,Systems Engineer,Data
3.995819606364272,4.487918445811909,1.292476746543222,1.0283533244196328,2.239423786608868,4.986392933811072,Big Data Engineer,Data
3.5102173426827243,2.599105446024475,1.181092161052347,1.0,2.452074797425791,5.0,QA Engineer,Data
2.1687410373631995,4.868346096561042,1.921487585777646,1.0,2.795700183881402,4.4383570931930585,Data Scientist,Data
3.658989092567974,3.6026847778922453,2.1732006619967,1.3281926504206614,2.7464159456825787,5.0,QA Engineer,Data
4.075923774820786,3.6569692367281608,1.0,1.0,1.2175727875222695,5.0,Systems Engineer,Data
4.139910797972139,4.132644172391904,1.0,1.6431260432274293,3.060591075950339,4.898673368588925,Cloud Engineer,Data
3.977869939860712,3.5726083432858293,1.3494518957508828,2.1224492070743635,2.479353922480914,5.0,QA Engineer,Data
4.517782533888705,3.172315252317256,1.0,1.0,2.5567998755932546,5.0,QA Engineer,Data
3.4165886152329668,2.992495780246455,1.0,1.0,4.312652790134456,4.915614030281045,Cloud Engineer,Data
4.015684208049854,5.0,1.12129796857673,1.0,1.402265141667244,4.312303322447139,Cybersecurity Analyst,Data
3.4129478098119144,2.709541411402941,1.0,1.0,2.463033796616423,4.998164455759742,QA Engineer,Data
